network_id,spec_key,scope,profile,canonical_label,sources,edges,mean_source_accuracy,exposure_weighted_accuracy,source_hhi,mean_pair_source_overlap,mean_pair_agreement,private_discovery
C000,base:equal-baseline:K2,base,equal-baseline,K2N4:2-3@0001;2-3@1110,2,4,2/3,2/3,5/8,1/2,3/4,8/9
C001,base:equal-baseline:K2,base,equal-baseline,K2N4:2-3@0001;2-3@1111,2,5,2/3,2/3,17/25,1,7/8,7/9
C002,base:equal-baseline:K2,base,equal-baseline,K2N4:2-3@0011;2-3@1100,2,4,2/3,2/3,1/2,1/3,2/3,8/9
C003,base:equal-baseline:K2,base,equal-baseline,K2N4:2-3@0011;2-3@1101,2,5,2/3,2/3,13/25,2/3,17/24,8/9
C004,base:equal-baseline:K2,base,equal-baseline,K2N4:2-3@0011;2-3@1111,2,6,2/3,2/3,5/9,7/6,19/24,5/6
C005,base:equal-baseline:K2,base,equal-baseline,K2N4:2-3@0111;2-3@1011,2,6,2/3,2/3,1/2,1,17/24,8/9
C006,base:equal-baseline:K2,base,equal-baseline,K2N4:2-3@0111;2-3@1111,2,7,2/3,2/3,25/49,3/2,3/4,31/36
C007,base:equal-baseline:K2,base,equal-baseline,K2N4:2-3@1111;2-3@1111,2,8,2/3,2/3,1/2,2,3/4,31/36
C008,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0001;2-3@1110,3,5,2/3,2/3,11/25,1/2,3/4,8/9
C009,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0001;2-3@1111,3,6,2/3,2/3,1/2,1,187/216,68/81
C010,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0010;2-3@1100,3,4,2/3,2/3,3/8,1/6,7/12,26/27
C011,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0010;2-3@1101,3,5,2/3,2/3,11/25,1/2,2/3,25/27
C012,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0010;2-3@1111,3,6,2/3,2/3,1/2,1,37/48,23/27
C013,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0011;2-3@1100,3,5,2/3,2/3,9/25,1/3,5/8,25/27
C014,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0011;2-3@1101,3,6,2/3,2/3,7/18,2/3,151/216,73/81
C015,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0011;2-3@1110,3,6,2/3,2/3,7/18,2/3,11/16,49/54
C016,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0011;2-3@1111,3,7,2/3,2/3,3/7,7/6,169/216,47/54
C017,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0110;2-3@1010,3,5,2/3,2/3,9/25,1/3,7/12,26/27
C018,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0110;2-3@1011,3,6,2/3,2/3,7/18,2/3,31/48,25/27
C019,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0110;2-3@1110,3,6,2/3,2/3,7/18,2/3,5/8,17/18
C020,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0110;2-3@1111,3,7,2/3,2/3,3/7,7/6,17/24,8/9
C021,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0111;2-3@1011,3,7,2/3,2/3,19/49,1,151/216,73/81
C022,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0111;2-3@1110,3,7,2/3,2/3,19/49,1,2/3,11/12
C023,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@0111;2-3@1111,3,8,2/3,2/3,13/32,3/2,20/27,287/324
C024,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@1110;2-3@1110,3,7,2/3,2/3,19/49,1,5/8,17/18
C025,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@1110;2-3@1111,3,8,2/3,2/3,13/32,3/2,11/16,65/72
C026,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0001;2-3@1111;2-3@1111,3,9,2/3,2/3,11/27,2,20/27,287/324
C027,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@0011;2-3@1100,3,6,2/3,2/3,1/3,1/2,5/8,25/27
C028,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@0011;2-3@1101,3,7,2/3,2/3,17/49,5/6,151/216,73/81
C029,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@0011;2-3@1111,3,8,2/3,2/3,3/8,4/3,131/162,208/243
C030,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@0101;2-3@1001,3,6,2/3,2/3,1/3,1/2,133/216,26/27
C031,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@0101;2-3@1010,3,6,2/3,2/3,1/3,1/2,29/48,17/18
C032,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@0101;2-3@1011,3,7,2/3,2/3,17/49,5/6,71/108,151/162
C033,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@0101;2-3@1110,3,7,2/3,2/3,17/49,5/6,31/48,25/27
C034,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@0101;2-3@1111,3,8,2/3,2/3,3/8,4/3,311/432,73/81
C035,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@0111;2-3@1011,3,8,2/3,2/3,11/32,7/6,235/324,221/243
C036,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@0111;2-3@1100,3,7,2/3,2/3,17/49,5/6,5/8,101/108
C037,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@0111;2-3@1101,3,8,2/3,2/3,11/32,7/6,293/432,11/12
C038,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@0111;2-3@1111,3,9,2/3,2/3,29/81,5/3,497/648,143/162
C039,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@1100;2-3@1111,3,8,2/3,2/3,3/8,4/3,2/3,197/216
C040,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@1101;2-3@1101,3,8,2/3,2/3,11/32,7/6,71/108,151/162
C041,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@1101;2-3@1110,3,8,2/3,2/3,11/32,7/6,31/48,25/27
C042,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@1101;2-3@1111,3,9,2/3,2/3,29/81,5/3,151/216,589/648
C043,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0011;2-3@1111;2-3@1111,3,10,2/3,2/3,9/25,13/6,497/648,143/162
C044,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0111;2-3@0111;2-3@1011,3,9,2/3,2/3,1/3,3/2,235/324,221/243
C045,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0111;2-3@0111;2-3@1111,3,10,2/3,2/3,17/50,2,179/216,632/729
C046,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0111;2-3@1011;2-3@1101,3,9,2/3,2/3,1/3,3/2,293/432,11/12
C047,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0111;2-3@1011;2-3@1111,3,10,2/3,2/3,17/50,2,967/1296,871/972
C048,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@0111;2-3@1111;2-3@1111,3,11,2/3,2/3,41/121,5/2,179/216,632/729
C049,base:equal-baseline:K3,base,equal-baseline,K3N4:2-3@1111;2-3@1111;2-3@1111,3,12,2/3,2/3,1/3,3,25/27,605/729
C050,base:modest:K2,base,modest,K2N4:1-2@0001;2-3@1110,2,4,7/12,5/8,5/8,1/2,17/24,5/6
C051,base:modest:K2,base,modest,K2N4:1-2@0001;2-3@1111,2,5,7/12,19/30,17/25,1,41/48,3/4
C052,base:modest:K2,base,modest,K2N4:1-2@0011;2-3@1100,2,4,7/12,7/12,1/2,1/3,11/18,5/6
C053,base:modest:K2,base,modest,K2N4:1-2@0011;2-3@1101,2,5,7/12,3/5,13/25,2/3,95/144,5/6
C054,base:modest:K2,base,modest,K2N4:1-2@0011;2-3@1111,2,6,7/12,11/18,5/9,7/6,109/144,19/24
C055,base:modest:K2,base,modest,K2N4:1-2@0111;2-3@1000,2,4,7/12,13/24,5/8,1/2,17/24,5/6
C056,base:modest:K2,base,modest,K2N4:1-2@0111;2-3@1001,2,5,7/12,17/30,13/25,2/3,95/144,5/6
C057,base:modest:K2,base,modest,K2N4:1-2@0111;2-3@1011,2,6,7/12,7/12,1/2,1,95/144,5/6
C058,base:modest:K2,base,modest,K2N4:1-2@0111;2-3@1111,2,7,7/12,25/42,25/49,3/2,17/24,13/16
C059,base:modest:K2,base,modest,K2N4:1-2@1111;2-3@0001,2,5,7/12,8/15,17/25,1,41/48,2/3
C060,base:modest:K2,base,modest,K2N4:1-2@1111;2-3@0011,2,6,7/12,5/9,5/9,7/6,109/144,3/4
C061,base:modest:K2,base,modest,K2N4:1-2@1111;2-3@0111,2,7,7/12,4/7,25/49,3/2,17/24,19/24
C062,base:modest:K2,base,modest,K2N4:1-2@1111;2-3@1111,2,8,7/12,7/12,1/2,2,17/24,77/96
C063,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0001;2-3@1110,3,5,5/9,3/5,11/25,1/2,17/24,5/6
C064,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0001;2-3@1111,3,6,5/9,11/18,1/2,1,245/288,7/9
C065,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0010;2-3@1100,3,4,5/9,7/12,3/8,1/6,73/144,11/12
C066,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0010;2-3@1101,3,5,5/9,3/5,11/25,1/2,175/288,7/8
C067,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0010;2-3@1111,3,6,5/9,11/18,1/2,1,421/576,13/16
C068,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0011;2-3@1100,3,5,5/9,17/30,9/25,1/3,161/288,7/8
C069,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0011;2-3@1101,3,6,5/9,7/12,7/18,2/3,187/288,61/72
C070,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0011;2-3@1110,3,6,5/9,7/12,7/18,2/3,365/576,41/48
C071,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0011;2-3@1111,3,7,5/9,25/42,3/7,7/6,3/4,13/16
C072,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0110;2-3@1000,3,4,5/9,13/24,3/8,1/6,1/2,11/12
C073,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0110;2-3@1001,3,5,5/9,17/30,9/25,1/3,5/9,7/8
C074,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0110;2-3@1010,3,5,5/9,17/30,9/25,1/3,145/288,11/12
C075,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0110;2-3@1011,3,6,5/9,7/12,7/18,2/3,335/576,7/8
C076,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0110;2-3@1110,3,6,5/9,7/12,7/18,2/3,5/9,43/48
C077,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0110;2-3@1111,3,7,5/9,25/42,3/7,7/6,21/32,27/32
C078,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0111;2-3@1000,3,5,5/9,8/15,11/25,1/2,29/48,7/8
C079,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0111;2-3@1001,3,6,5/9,5/9,7/18,2/3,185/288,61/72
C080,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0111;2-3@1010,3,6,5/9,5/9,7/18,2/3,335/576,7/8
C081,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0111;2-3@1011,3,7,5/9,4/7,19/49,1,31/48,61/72
C082,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0111;2-3@1110,3,7,5/9,4/7,19/49,1,175/288,83/96
C083,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@0111;2-3@1111,3,8,5/9,7/12,13/32,3/2,67/96,239/288
C084,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@1110;2-3@0001,3,5,5/9,8/15,11/25,1/2,67/96,19/24
C085,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@1110;2-3@0010,3,5,5/9,8/15,11/25,1/2,19/32,5/6
C086,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@1110;2-3@0011,3,6,5/9,5/9,7/18,2/3,361/576,5/6
C087,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@1110;2-3@0110,3,6,5/9,5/9,7/18,2/3,79/144,7/8
C088,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@1110;2-3@0111,3,7,5/9,4/7,19/49,1,29/48,41/48
C089,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@1110;2-3@1110,3,7,5/9,4/7,19/49,1,53/96,85/96
C090,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@1110;2-3@1111,3,8,5/9,7/12,13/32,3/2,121/192,163/192
C091,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@1111;2-3@0001,3,6,5/9,19/36,1/2,1,239/288,17/24
C092,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@1111;2-3@0010,3,6,5/9,19/36,1/2,1,139/192,3/4
C093,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@1111;2-3@0011,3,7,5/9,23/42,3/7,7/6,53/72,7/9
C094,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@1111;2-3@0110,3,7,5/9,23/42,3/7,7/6,47/72,13/16
C095,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@1111;2-3@0111,3,8,5/9,9/16,13/32,3/2,199/288,13/16
C096,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@1111;2-3@1110,3,8,5/9,9/16,13/32,3/2,121/192,161/192
C097,base:modest:K3,base,modest,K3N4:1-2@0001;1-2@1111;2-3@1111,3,9,5/9,31/54,11/27,2,25/36,473/576
C098,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0001;2-3@1110,3,5,11/18,19/30,11/25,1/2,35/48,31/36
C099,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0001;2-3@1111,3,6,11/18,23/36,1/2,1,373/432,29/36
C100,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0010;2-3@1100,3,4,11/18,5/8,3/8,1/6,13/24,17/18
C101,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0010;2-3@1101,3,5,11/18,19/30,11/25,1/2,31/48,11/12
C102,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0010;2-3@1110,3,5,11/18,19/30,11/25,1/2,5/8,8/9
C103,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0010;2-3@1111,3,6,11/18,23/36,1/2,1,3/4,5/6
C104,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0011;2-3@1100,3,5,11/18,19/30,9/25,1/3,29/48,11/12
C105,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0011;2-3@1101,3,6,11/18,23/36,7/18,2/3,301/432,97/108
C106,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0011;2-3@1110,3,6,11/18,23/36,7/18,2/3,2/3,8/9
C107,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0011;2-3@1111,3,7,11/18,9/14,3/7,7/6,337/432,23/27
C108,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0110;2-3@1010,3,5,11/18,19/30,9/25,1/3,13/24,17/18
C109,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0110;2-3@1011,3,6,11/18,23/36,7/18,2/3,5/8,11/12
C110,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0110;2-3@1110,3,6,11/18,23/36,7/18,2/3,7/12,11/12
C111,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0110;2-3@1111,3,7,11/18,9/14,3/7,7/6,11/16,7/8
C112,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0111;2-3@1011,3,7,11/18,9/14,19/49,1,301/432,97/108
C113,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0111;2-3@1110,3,7,11/18,9/14,19/49,1,31/48,65/72
C114,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@0111;2-3@1111,3,8,11/18,31/48,13/32,3/2,319/432,7/8
C115,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@1110;2-3@1110,3,7,11/18,9/14,19/49,1,7/12,11/12
C116,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@1110;2-3@1111,3,8,11/18,31/48,13/32,3/2,2/3,8/9
C117,base:modest:K3,base,modest,K3N4:1-2@0001;2-3@1111;2-3@1111,3,9,11/18,35/54,11/27,2,319/432,7/8
C118,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0011;2-3@1100,3,6,5/9,5/9,1/3,1/2,161/288,7/8
C119,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0011;2-3@1101,3,7,5/9,4/7,17/49,5/6,187/288,61/72
C120,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0011;2-3@1111,3,8,5/9,7/12,3/8,4/3,169/216,43/54
C121,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0101;2-3@1000,3,5,5/9,8/15,9/25,1/3,1/2,11/12
C122,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0101;2-3@1001,3,6,5/9,5/9,1/3,1/2,155/288,11/12
C123,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0101;2-3@1010,3,6,5/9,5/9,1/3,1/2,305/576,43/48
C124,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0101;2-3@1011,3,7,5/9,4/7,17/49,5/6,19/32,127/144
C125,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0101;2-3@1110,3,7,5/9,4/7,17/49,5/6,335/576,7/8
C126,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0101;2-3@1111,3,8,5/9,7/12,3/8,4/3,43/64,61/72
C127,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0111;2-3@1000,3,6,5/9,19/36,7/18,2/3,53/96,43/48
C128,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0111;2-3@1001,3,7,5/9,23/42,17/49,5/6,85/144,127/144
C129,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0111;2-3@1011,3,8,5/9,9/16,11/32,7/6,145/216,185/216
C130,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0111;2-3@1100,3,7,5/9,23/42,17/49,5/6,5/9,85/96
C131,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0111;2-3@1101,3,8,5/9,9/16,11/32,7/6,119/192,83/96
C132,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@0111;2-3@1111,3,9,5/9,31/54,29/81,5/3,157/216,119/144
C133,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1100;2-3@0001,3,5,5/9,8/15,9/25,1/3,13/24,5/6
C134,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1100;2-3@0011,3,6,5/9,5/9,1/3,1/2,79/144,41/48
C135,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1100;2-3@0101,3,6,5/9,5/9,1/3,1/2,301/576,7/8
C136,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1100;2-3@0111,3,7,5/9,4/7,17/49,5/6,53/96,7/8
C137,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1100;2-3@1111,3,8,5/9,7/12,3/8,4/3,29/48,55/64
C138,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1101;2-3@0001,3,6,5/9,19/36,7/18,2/3,179/288,7/9
C139,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1101;2-3@0010,3,6,5/9,19/36,7/18,2/3,119/192,13/16
C140,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1101;2-3@0011,3,7,5/9,23/42,17/49,5/6,91/144,13/16
C141,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1101;2-3@0100,3,6,5/9,19/36,7/18,2/3,109/192,5/6
C142,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1101;2-3@0101,3,7,5/9,23/42,17/49,5/6,167/288,61/72
C143,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1101;2-3@0110,3,7,5/9,23/42,17/49,5/6,331/576,41/48
C144,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1101;2-3@0111,3,8,5/9,9/16,11/32,7/6,353/576,61/72
C145,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1101;2-3@1100,3,7,5/9,23/42,17/49,5/6,79/144,83/96
C146,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1101;2-3@1101,3,8,5/9,9/16,11/32,7/6,169/288,83/96
C147,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1101;2-3@1110,3,8,5/9,9/16,11/32,7/6,37/64,83/96
C148,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1101;2-3@1111,3,9,5/9,31/54,29/81,5/3,185/288,61/72
C149,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1111;2-3@0001,3,7,5/9,11/21,3/7,7/6,209/288,107/144
C150,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1111;2-3@0011,3,8,5/9,13/24,3/8,4/3,163/216,53/72
C151,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1111;2-3@0100,3,7,5/9,11/21,3/7,7/6,31/48,19/24
C152,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1111;2-3@0101,3,8,5/9,13/24,3/8,4/3,379/576,13/16
C153,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1111;2-3@0111,3,9,5/9,5/9,29/81,5/3,77/108,43/54
C154,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1111;2-3@1100,3,8,5/9,13/24,3/8,4/3,173/288,161/192
C155,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1111;2-3@1101,3,9,5/9,5/9,29/81,5/3,23/36,161/192
C156,base:modest:K3,base,modest,K3N4:1-2@0011;1-2@1111;2-3@1111,3,10,5/9,17/30,9/25,13/6,311/432,701/864
C157,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0001;2-3@1100,3,5,11/18,3/5,9/25,1/3,83/144,8/9
C158,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0001;2-3@1101,3,6,11/18,11/18,7/18,2/3,283/432,23/27
C159,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0001;2-3@1110,3,6,11/18,11/18,7/18,2/3,47/72,7/8
C160,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0001;2-3@1111,3,7,11/18,13/21,3/7,7/6,41/54,179/216
C161,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0011;2-3@1100,3,6,11/18,11/18,1/3,1/2,85/144,65/72
C162,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0011;2-3@1101,3,7,11/18,13/21,17/49,5/6,73/108,7/8
C163,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0011;2-3@1111,3,8,11/18,5/8,3/8,4/3,65/81,89/108
C164,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0100;2-3@1000,3,4,11/18,7/12,3/8,1/6,19/36,17/18
C165,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0100;2-3@1001,3,5,11/18,3/5,9/25,1/3,77/144,17/18
C166,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0100;2-3@1011,3,6,11/18,11/18,7/18,2/3,85/144,67/72
C167,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0100;2-3@1100,3,5,11/18,3/5,9/25,1/3,41/72,8/9
C168,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0100;2-3@1101,3,6,11/18,11/18,7/18,2/3,43/72,8/9
C169,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0100;2-3@1111,3,7,11/18,13/21,3/7,7/6,97/144,31/36
C170,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0101;2-3@1001,3,6,11/18,11/18,1/3,1/2,247/432,17/18
C171,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0101;2-3@1010,3,6,11/18,11/18,1/3,1/2,41/72,67/72
C172,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0101;2-3@1011,3,7,11/18,13/21,17/49,5/6,137/216,199/216
C173,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0101;2-3@1100,3,6,11/18,11/18,1/3,1/2,5/9,11/12
C174,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0101;2-3@1101,3,7,11/18,13/21,17/49,5/6,265/432,97/108
C175,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0101;2-3@1110,3,7,11/18,13/21,17/49,5/6,11/18,65/72
C176,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0101;2-3@1111,3,8,11/18,5/8,3/8,4/3,301/432,7/8
C177,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0111;2-3@1011,3,8,11/18,5/8,11/32,7/6,233/324,293/324
C178,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0111;2-3@1100,3,7,11/18,13/21,17/49,5/6,85/144,11/12
C179,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0111;2-3@1101,3,8,11/18,5/8,11/32,7/6,283/432,97/108
C180,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@0111;2-3@1111,3,9,11/18,17/27,29/81,5/3,493/648,70/81
C181,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@1100;2-3@1100,3,6,11/18,11/18,1/3,1/2,41/72,8/9
C182,base:modest:K3,base,modest,K3N4:1-2@0011;2-3@1100;2-3@1101,3,7,11/18,13/21,17/49,5/6,83/144,65/72
