network_id,spec_key,scope,profile,canonical_label,sources,edges,mean_source_accuracy,exposure_weighted_accuracy,source_hhi,mean_pair_source_overlap,mean_pair_agreement,private_discovery
C518,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@0011;5-6@1100,3,5,2/3,11/15,9/25,1/3,11/16,211/216
C519,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@0011;5-6@1101,3,6,2/3,3/4,7/18,2/3,355/432,631/648
C520,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@0011;5-6@1110,3,6,2/3,3/4,7/18,2/3,139/192,103/108
C521,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@0011;5-6@1111,3,7,2/3,16/21,3/7,7/6,47/54,101/108
C522,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@0110;5-6@1010,3,5,2/3,11/15,9/25,1/3,41/72,53/54
C523,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@0110;5-6@1011,3,6,2/3,3/4,7/18,2/3,403/576,211/216
C524,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@0110;5-6@1110,3,6,2/3,3/4,7/18,2/3,19/32,23/24
C525,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@0110;5-6@1111,3,7,2/3,16/21,3/7,7/6,53/72,91/96
C526,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@0111;5-6@1011,3,7,2/3,16/21,19/49,1,355/432,631/648
C527,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@0111;5-6@1110,3,7,2/3,16/21,19/49,1,205/288,139/144
C528,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@0111;5-6@1111,3,8,2/3,37/48,13/32,3/2,731/864,1237/1296
C529,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@1110;5-6@1110,3,7,2/3,16/21,19/49,1,19/32,23/24
C530,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@1110;5-6@1111,3,8,2/3,37/48,13/32,3/2,139/192,551/576
C531,base:strong:K3,base,strong,K3N4:1-3@0001;5-6@1111;5-6@1111,3,9,2/3,7/9,11/27,2,731/864,1237/1296
C532,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0011;5-6@1100,3,6,1/2,1/2,1/3,1/2,1/2,49/54
C533,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0011;5-6@1101,3,7,1/2,23/42,17/49,5/6,16/27,145/162
C534,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0011;5-6@1111,3,8,1/2,7/12,3/8,4/3,59/81,212/243
C535,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0101;5-6@1000,3,5,1/2,13/30,9/25,1/3,4/9,25/27
C536,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0101;5-6@1001,3,6,1/2,1/2,1/3,1/2,13/27,25/27
C537,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0101;5-6@1010,3,6,1/2,1/2,1/3,1/2,17/36,11/12
C538,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0101;5-6@1011,3,7,1/2,23/42,17/49,5/6,29/54,295/324
C539,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0101;5-6@1110,3,7,1/2,23/42,17/49,5/6,19/36,49/54
C540,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0101;5-6@1111,3,8,1/2,7/12,3/8,4/3,67/108,145/162
C541,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0111;5-6@1000,3,6,1/2,5/12,7/18,2/3,1/2,11/12
C542,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0111;5-6@1001,3,7,1/2,10/21,17/49,5/6,29/54,295/324
C543,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0111;5-6@1011,3,8,1/2,25/48,11/32,7/6,50/81,437/486
C544,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0111;5-6@1100,3,7,1/2,10/21,17/49,5/6,1/2,197/216
C545,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0111;5-6@1101,3,8,1/2,25/48,11/32,7/6,61/108,65/72
C546,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@0111;5-6@1111,3,9,1/2,5/9,29/81,5/3,109/162,287/324
C547,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1100;5-6@0001,3,5,1/2,13/30,9/25,1/3,1/2,20/27
C548,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1100;5-6@0011,3,6,1/2,1/2,1/3,1/2,1/2,89/108
C549,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1100;5-6@0101,3,6,1/2,1/2,1/3,1/2,17/36,5/6
C550,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1100;5-6@0111,3,7,1/2,23/42,17/49,5/6,1/2,47/54
C551,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1100;5-6@1111,3,8,1/2,7/12,3/8,4/3,5/9,763/864
C552,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1101;5-6@0001,3,6,1/2,5/12,7/18,2/3,16/27,50/81
C553,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1101;5-6@0010,3,6,1/2,5/12,7/18,2/3,7/12,79/108
C554,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1101;5-6@0011,3,7,1/2,10/21,17/49,5/6,16/27,245/324
C555,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1101;5-6@0100,3,6,1/2,5/12,7/18,2/3,19/36,20/27
C556,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1101;5-6@0101,3,7,1/2,10/21,17/49,5/6,29/54,125/162
C557,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1101;5-6@0110,3,7,1/2,10/21,17/49,5/6,19/36,89/108
C558,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1101;5-6@0111,3,8,1/2,25/48,11/32,7/6,61/108,5/6
C559,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1101;5-6@1100,3,7,1/2,10/21,17/49,5/6,1/2,179/216
C560,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1101;5-6@1101,3,8,1/2,25/48,11/32,7/6,29/54,545/648
C561,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1101;5-6@1110,3,8,1/2,25/48,11/32,7/6,19/36,187/216
C562,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1101;5-6@1111,3,9,1/2,5/9,29/81,5/3,16/27,70/81
C563,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1111;5-6@0001,3,7,1/2,17/42,3/7,7/6,19/27,65/108
C564,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1111;5-6@0011,3,8,1/2,11/24,3/8,4/3,59/81,307/486
C565,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1111;5-6@0100,3,7,1/2,17/42,3/7,7/6,11/18,17/24
C566,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1111;5-6@0101,3,8,1/2,11/24,3/8,4/3,67/108,245/324
C567,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1111;5-6@0111,3,9,1/2,1/2,29/81,5/3,109/162,62/81
C568,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1111;5-6@1100,3,8,1/2,11/24,3/8,4/3,5/9,175/216
C569,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1111;5-6@1101,3,9,1/2,1/2,29/81,5/3,16/27,1075/1296
C570,base:strong:K3,base,strong,K3N4:1-3@0011;1-3@1111;5-6@1111,3,10,1/2,8/15,9/25,13/6,109/162,535/648
C571,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0001;5-6@1100,3,5,2/3,19/30,9/25,1/3,9/16,101/108
C572,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0001;5-6@1101,3,6,2/3,2/3,7/18,2/3,137/216,293/324
C573,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0001;5-6@1110,3,6,2/3,2/3,7/18,2/3,127/192,403/432
C574,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0001;5-6@1111,3,7,2/3,29/42,3/7,7/6,671/864,389/432
C575,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0011;5-6@1100,3,6,2/3,2/3,1/3,1/2,5/8,413/432
C576,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0011;5-6@1101,3,7,2/3,29/42,17/49,5/6,629/864,1217/1296
C577,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0011;5-6@1111,3,8,2/3,17/24,3/8,4/3,571/648,1765/1944
C578,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0100;5-6@1000,3,4,2/3,7/12,3/8,1/6,73/144,53/54
C579,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0100;5-6@1001,3,5,2/3,19/30,9/25,1/3,155/288,53/54
C580,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0100;5-6@1011,3,6,2/3,2/3,7/18,2/3,5/8,47/48
C581,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0100;5-6@1100,3,5,2/3,19/30,9/25,1/3,17/32,101/108
C582,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0100;5-6@1101,3,6,2/3,2/3,7/18,2/3,331/576,101/108
C583,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0100;5-6@1111,3,7,2/3,29/42,3/7,7/6,97/144,89/96
C584,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0101;5-6@1001,3,6,2/3,2/3,1/3,1/2,253/432,53/54
C585,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0101;5-6@1010,3,6,2/3,2/3,1/3,1/2,353/576,47/48
C586,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0101;5-6@1011,3,7,2/3,29/42,17/49,5/6,19/27,1267/1296
C587,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0101;5-6@1100,3,6,2/3,2/3,1/3,1/2,317/576,23/24
C588,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0101;5-6@1101,3,7,2/3,29/42,17/49,5/6,527/864,611/648
C589,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0101;5-6@1110,3,7,2/3,29/42,17/49,5/6,367/576,413/432
C590,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0101;5-6@1111,3,8,2/3,17/24,3/8,4/3,1279/1728,1217/1296
C591,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0111;5-6@1011,3,8,2/3,17/24,11/32,7/6,1079/1296,1895/1944
C592,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0111;5-6@1100,3,7,2/3,29/42,17/49,5/6,5/8,209/216
C593,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0111;5-6@1101,3,8,2/3,17/24,11/32,7/6,1237/1728,23/24
C594,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@0111;5-6@1111,3,9,2/3,13/18,29/81,5/3,2221/2592,305/324
C595,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@1100;5-6@1100,3,6,2/3,2/3,1/3,1/2,17/32,101/108
C596,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@1100;5-6@1101,3,7,2/3,29/42,17/49,5/6,9/16,409/432
C597,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@1100;5-6@1111,3,8,2/3,17/24,3/8,4/3,187/288,1637/1728
C598,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@1101;5-6@1101,3,8,2/3,17/24,11/32,7/6,527/864,611/648
C599,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@1101;5-6@1110,3,8,2/3,17/24,11/32,7/6,367/576,413/432
C600,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@1101;5-6@1111,3,9,2/3,13/18,29/81,5/3,629/864,2459/2592
C601,base:strong:K3,base,strong,K3N4:1-3@0011;5-6@1111;5-6@1111,3,10,2/3,11/15,9/25,13/6,2221/2592,305/324
C602,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@0111;5-6@1000,3,7,1/2,17/42,19/49,1,1/2,11/12
C603,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@0111;5-6@1001,3,8,1/2,11/24,11/32,7/6,29/54,295/324
C604,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@0111;5-6@1011,3,9,1/2,1/2,1/3,3/2,50/81,437/486
C605,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@0111;5-6@1111,3,10,1/2,8/15,17/50,2,20/27,640/729
C606,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1011;5-6@0001,3,7,1/2,17/42,19/49,1,16/27,50/81
C607,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1011;5-6@0011,3,8,1/2,11/24,11/32,7/6,50/81,160/243
C608,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1011;5-6@0100,3,7,1/2,17/42,19/49,1,5/9,53/72
C609,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1011;5-6@0101,3,8,1/2,11/24,11/32,7/6,61/108,55/72
C610,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1011;5-6@0111,3,9,1/2,1/2,1/3,3/2,50/81,757/972
C611,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1011;5-6@1100,3,8,1/2,11/24,11/32,7/6,19/36,89/108
C612,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1011;5-6@1101,3,9,1/2,1/2,1/3,3/2,61/108,5/6
C613,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1011;5-6@1111,3,10,1/2,8/15,17/50,2,209/324,809/972
C614,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1111;5-6@0001,3,8,1/2,19/48,13/32,3/2,35/54,395/648
C615,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1111;5-6@0011,3,9,1/2,4/9,29/81,5/3,109/162,209/324
C616,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1111;5-6@0111,3,10,1/2,29/60,17/50,2,20/27,965/1458
C617,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1111;5-6@1000,3,8,1/2,19/48,13/32,3/2,7/12,13/18
C618,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1111;5-6@1001,3,9,1/2,4/9,29/81,5/3,16/27,985/1296
C619,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1111;5-6@1011,3,10,1/2,29/60,17/50,2,209/324,1501/1944
C620,base:strong:K3,base,strong,K3N4:1-3@0111;1-3@1111;5-6@1111,3,11,1/2,17/33,41/121,5/2,20/27,2245/2916
C621,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0001;5-6@1000,3,5,2/3,8/15,11/25,1/2,169/288,101/108
C622,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0001;5-6@1001,3,6,2/3,7/12,7/18,2/3,247/432,293/324
C623,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0001;5-6@1010,3,6,2/3,7/12,7/18,2/3,331/576,101/108
C624,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0001;5-6@1011,3,7,2/3,13/21,19/49,1,521/864,293/324
C625,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0001;5-6@1110,3,7,2/3,13/21,19/49,1,89/144,269/288
C626,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0001;5-6@1111,3,8,2/3,31/48,13/32,3/2,149/216,2339/2592
C627,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0011;5-6@1000,3,6,2/3,7/12,7/18,2/3,9/16,23/24
C628,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0011;5-6@1001,3,7,2/3,13/21,17/49,5/6,125/216,611/648
C629,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0011;5-6@1011,3,8,2/3,31/48,11/32,7/6,209/324,889/972
C630,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0011;5-6@1100,3,7,2/3,13/21,17/49,5/6,19/32,827/864
C631,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0011;5-6@1101,3,8,2/3,31/48,11/32,7/6,1129/1728,271/288
C632,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0011;5-6@1111,3,9,2/3,2/3,29/81,5/3,989/1296,1181/1296
C633,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0111;5-6@1000,3,7,2/3,13/21,19/49,1,19/32,31/32
C634,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0111;5-6@1001,3,8,2/3,31/48,11/32,7/6,277/432,2489/2592
C635,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0111;5-6@1011,3,9,2/3,2/3,1/3,3/2,1915/2592,3673/3888
C636,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@0111;5-6@1111,3,10,2/3,41/60,17/50,2,383/432,5339/5832
C637,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@1000;5-6@1000,3,5,2/3,8/15,11/25,1/2,2/3,8/9
C638,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@1000;5-6@1001,3,6,2/3,7/12,7/18,2/3,115/192,197/216
C639,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@1000;5-6@1011,3,7,2/3,13/21,19/49,1,169/288,133/144
C640,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@1000;5-6@1111,3,8,2/3,31/48,13/32,3/2,121/192,533/576
C641,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@1001;5-6@1001,3,7,2/3,13/21,17/49,5/6,247/432,293/324
C642,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@1001;5-6@1010,3,7,2/3,13/21,17/49,5/6,331/576,101/108
C643,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@1001;5-6@1011,3,8,2/3,31/48,11/32,7/6,1021/1728,133/144
C644,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@1001;5-6@1110,3,8,2/3,31/48,11/32,7/6,349/576,817/864
C645,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@1001;5-6@1111,3,9,2/3,2/3,29/81,5/3,575/864,1207/1296
C646,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@1011;5-6@1011,3,9,2/3,2/3,1/3,3/2,209/324,889/972
C647,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@1011;5-6@1101,3,9,2/3,2/3,1/3,3/2,1129/1728,271/288
C648,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@1011;5-6@1111,3,10,2/3,41/60,17/50,2,3893/5184,451/486
C649,base:strong:K3,base,strong,K3N4:1-3@0111;5-6@1111;5-6@1111,3,11,2/3,23/33,41/121,5/2,383/432,5339/5832
C650,base:strong:K3,base,strong,K3N4:1-3@1111;1-3@1111;5-6@0001,3,9,1/2,7/18,11/27,2,35/54,395/648
C651,base:strong:K3,base,strong,K3N4:1-3@1111;1-3@1111;5-6@0011,3,10,1/2,13/30,9/25,13/6,109/162,209/324
C652,base:strong:K3,base,strong,K3N4:1-3@1111;1-3@1111;5-6@0111,3,11,1/2,31/66,41/121,5/2,20/27,965/1458
C653,base:strong:K3,base,strong,K3N4:1-3@1111;1-3@1111;5-6@1111,3,12,1/2,1/2,1/3,3,23/27,481/729
C654,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0001;5-6@0001,3,6,2/3,1/2,1/2,1,79/108,67/81
C655,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0001;5-6@0010,3,6,2/3,1/2,1/2,1,409/576,167/216
C656,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0001;5-6@0011,3,7,2/3,23/42,3/7,7/6,563/864,187/216
C657,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0001;5-6@0110,3,7,2/3,23/42,3/7,7/6,185/288,41/48
C658,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0001;5-6@0111,3,8,2/3,7/12,13/32,3/2,271/432,1147/1296
C659,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0001;5-6@1110,3,8,2/3,7/12,13/32,3/2,121/192,515/576
C660,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0001;5-6@1111,3,9,2/3,11/18,11/27,2,569/864,4633/5184
C661,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0011;5-6@0011,3,8,2/3,7/12,3/8,4/3,409/648,206/243
C662,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0011;5-6@0101,3,8,2/3,7/12,3/8,4/3,1063/1728,293/324
C663,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0011;5-6@0111,3,9,2/3,11/18,29/81,5/3,827/1296,571/648
C664,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0011;5-6@1100,3,8,2/3,7/12,3/8,4/3,89/144,1565/1728
C665,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0011;5-6@1101,3,9,2/3,11/18,29/81,5/3,137/216,4783/5184
C666,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0011;5-6@1111,3,10,2/3,19/30,9/25,13/6,227/324,2323/2592
C667,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0111;5-6@0111,3,10,2/3,19/30,17/50,2,151/216,628/729
C668,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0111;5-6@1011,3,10,2/3,19/30,17/50,2,3569/5184,7099/7776
C669,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@0111;5-6@1111,3,11,2/3,43/66,41/121,5/2,685/864,10363/11664
C670,base:strong:K3,base,strong,K3N4:1-3@1111;5-6@1111;5-6@1111,3,12,2/3,2/3,1/3,3,101/108,5045/5832
C671,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0001;5-6@1110,3,5,11/18,7/10,11/25,1/2,35/48,11/12
C672,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0001;5-6@1111,3,6,11/18,13/18,1/2,1,191/216,287/324
C673,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0010;5-6@1100,3,4,11/18,2/3,3/8,1/6,19/36,26/27
C674,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0010;5-6@1101,3,5,11/18,7/10,11/25,1/2,95/144,103/108
C675,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0010;5-6@1110,3,5,11/18,7/10,11/25,1/2,43/72,25/27
C676,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0010;5-6@1111,3,6,11/18,13/18,1/2,1,215/288,49/54
C677,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0011;5-6@1100,3,5,11/18,2/3,9/25,1/3,5/8,103/108
C678,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0011;5-6@1101,3,6,11/18,25/36,7/18,2/3,161/216,307/324
C679,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0011;5-6@1110,3,6,11/18,25/36,7/18,2/3,65/96,101/108
C680,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0011;5-6@1111,3,7,11/18,5/7,3/7,7/6,22/27,11/12
C681,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0110;5-6@1000,3,4,11/18,5/8,3/8,1/6,19/36,26/27
C682,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0110;5-6@1001,3,5,11/18,2/3,9/25,1/3,5/8,103/108
C683,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0110;5-6@1010,3,5,11/18,2/3,9/25,1/3,19/36,26/27
C684,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0110;5-6@1011,3,6,11/18,25/36,7/18,2/3,185/288,103/108
C685,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0110;5-6@1110,3,6,11/18,25/36,7/18,2/3,9/16,17/18
C686,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0110;5-6@1111,3,7,11/18,5/7,3/7,7/6,25/36,67/72
C687,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0111;5-6@1000,3,5,11/18,19/30,11/25,1/2,95/144,103/108
C688,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0111;5-6@1001,3,6,11/18,2/3,7/18,2/3,161/216,307/324
C689,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0111;5-6@1010,3,6,11/18,2/3,7/18,2/3,185/288,103/108
C690,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0111;5-6@1011,3,7,11/18,29/42,19/49,1,161/216,307/324
C691,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0111;5-6@1110,3,7,11/18,29/42,19/49,1,95/144,17/18
C692,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@0111;5-6@1111,3,8,11/18,17/24,13/32,3/2,337/432,151/162
C693,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@1110;5-6@0001,3,5,11/18,19/30,11/25,1/2,35/48,31/36
C694,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@1110;5-6@0010,3,5,11/18,19/30,11/25,1/2,43/72,47/54
C695,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@1110;5-6@0011,3,6,11/18,2/3,7/18,2/3,65/96,49/54
C696,expansion:three-level:K3,controlled-expansion,three-level,K3N4:1-3@0001;2-3@1110;5-6@0110,3,6,11/18,2/3,7/18,2/3,9/16,11/12
